"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2026-09-04T17:27:16Z"
"Version","20260904172716"
"OfferCode","AmazonRDS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Physical Processor","Clock Speed","Memory","Storage","Network Performance","Processor Architecture","Storage Media","Volume Type","Min Volume Size","Max Volume Size","Engine Code","Database Engine","Database Edition","License Model","Deployment Option","Group","Group Description","usageType","operation","ACU","Dedicated EBS Throughput","Deployment Model","Engine Major Version","Engine Media Type","Enhanced Networking Supported","Extended Support Pricing Year","Instance Type Family","Normalization Size Factor","Processor Features","Region Code","serviceName","Unbundled Licensing","Volume Name","WindowsLicenseMultiplier"
"TZ3NMVQHVWKUR3Y4","JRTCKXETXF","TZ3NMVQHVWKUR3Y4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.133 per GB-month of provisioned gp2 storage running PostgreSQL","2026-09-01","0","Inf","GB-Mo","0.1330000000","USD",,,,,"Database Storage","AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,"SSD","General Purpose","5 GB","16 TB","14","PostgreSQL",,,"Single-AZ",,,"EUW2-RDS:GP2-Storage","CreateDBInstance:0014",,,,,,,,,,,"eu-west-2","Amazon Relational Database Service",,,
"VKNEYG4S5TJEYQMC","JRTCKXETXF","VKNEYG4S5TJEYQMC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.145 per RDS db.t4g.medium Multi-AZ instance hour (or partial hour) running PostgreSQL","2026-09-01","0","Inf","Hrs","0.1450000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.t4g.medium","Yes","General purpose","2","AWS Graviton2",,"4 GiB","EBS Only","Up to 5 Gigabit","64-bit",,,,,"14","PostgreSQL",,"No license required","Multi-AZ",,,"EUW2-Multi-AZUsage:db.t4g.medium","CreateDBInstance:0014",,,,,,,,"T4G","4",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"VUG2HGVQQDQW5MT6","JRTCKXETXF","VUG2HGVQQDQW5MT6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.266 per GB-month of provisioned gp2 storage for Multi-AZ deployments running PostgreSQL","2026-09-01","0","Inf","GB-Mo","0.2660000000","USD",,,,,"Database Storage","AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,"SSD","General Purpose","5 GB","16 TB","14","PostgreSQL",,,"Multi-AZ",,,"EUW2-RDS:Multi-AZ-GP2-Storage","CreateDBInstance:0014",,,,,,,,,,,"eu-west-2","Amazon Relational Database Service",,,
"WHAXSYFP6WBNPE6M","JRTCKXETXF","WHAXSYFP6WBNPE6M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.072 per RDS db.t4g.medium Single-AZ instance hour (or partial hour) running MySQL","2026-09-01","0","Inf","Hrs","0.0720000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.t4g.medium","Yes","General purpose","2","AWS Graviton2",,"4 GiB","EBS Only","Up to 5 Gigabit","64-bit",,,,,"2","MySQL",,"No license required","Single-AZ",,,"EUW2-InstanceUsage:db.t4g.medium","CreateDBInstance:0002",,,,,,,,"T4G","2",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"XPCX35MJ6RAV3ZXF","JRTCKXETXF","XPCX35MJ6RAV3ZXF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.145 per RDS db.t4g.medium Multi-AZ instance hour (or partial hour) running MySQL","2026-09-01","0","Inf","Hrs","0.1450000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.t4g.medium","Yes","General purpose","2","AWS Graviton2",,"4 GiB","EBS Only","Up to 5 Gigabit","64-bit",,,,,"2","MySQL",,"No license required","Multi-AZ",,,"EUW2-Multi-AZUsage:db.t4g.medium","CreateDBInstance:0002",,,,,,,,"T4G","4",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"ZE24YKEEYDU6R6TG","JRTCKXETXF","ZE24YKEEYDU6R6TG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.264 per RDS db.r6g.large Single-AZ instance hour (or partial hour) running PostgreSQL","2026-09-01","0","Inf","Hrs","0.2640000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.r6g.large","Yes","Memory optimized","2","AWS Graviton2",,"16 GiB","EBS Only","Up to 10 Gigabit","64-bit",,,,,"14","PostgreSQL",,"No license required","Single-AZ",,,"EUW2-InstanceUsage:db.r6g.large","CreateDBInstance:0014",,,,,,,,"R6G","4",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"ATYF9R3XTURNBSMZ","38NPMPTW36","ATYF9R3XTURNBSMZ.38NPMPTW36.6YS6EN2CT7","Reserved","PostgreSQL, db.t4g.micro reserved instance applied","2026-09-04","0","Inf","Hrs","0.0043000000","USD",,"3yr","Partial Upfront","standard","Database Instance","AmazonRDS","EU (London)","AWS Region","db.t4g.micro","Yes","General purpose","2","AWS Graviton2",,"1 GiB","EBS Only","Up to 5 Gigabit","64-bit",,,,,"14","PostgreSQL",,"No license required","Single-AZ",,,"EUW2-InstanceUsage:db.t4g.micro","CreateDBInstance:0014",,,,,,,,"T4G","0.5",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"ATYF9R3XTURNBSMZ","38NPMPTW36","ATYF9R3XTURNBSMZ.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2026-09-04",,,"Quantity","112","USD",,"3yr","Partial Upfront","standard","Database Instance","AmazonRDS","EU (London)","AWS Region","db.t4g.micro","Yes","General purpose","2","AWS Graviton2",,"1 GiB","EBS Only","Up to 5 Gigabit","64-bit",,,,,"14","PostgreSQL",,"No license required","Single-AZ",,,"EUW2-InstanceUsage:db.t4g.micro","CreateDBInstance:0014",,,,,,,,"T4G","0.5",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"KQNTBZ89F6J9CR6E","JRTCKXETXF","KQNTBZ89F6J9CR6E.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 0.018 per RDS db.t4g.micro Single-AZ instance hour (or partial hour) running MariaDB","2026-09-01","0","Inf","Hrs","0.0180000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.t4g.micro","Yes","General purpose","2","AWS Graviton2",,"1 GiB","EBS Only","Up to 5 Gigabit","64-bit",,,,,"18","MariaDB",,"No license required","Single-AZ",,,"EUW2-InstanceUsage:db.t4g.micro","CreateDBInstance:0018",,,,,,,,"T4G","0.5",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"F6VC6CJNFKSKWG9T","JRTCKXETXF","F6VC6CJNFKSKWG9T.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.021 per db.t3.micro Single-AZ instance hour (or partial hour) running PostgreSQL","2026-09-01","0","Inf","Hrs","0.0210000000","USD",,,,,"Database Instance","AmazonRDS","EU (London)","AWS Region","db.t3.micro","Yes","General purpose","2","Intel Skylake E5 2686 v5 (2.5 GHz)",,"1 GiB","EBS Only","Low to Moderate","64-bit",,,,,"14","PostgreSQL",,"No license required","Single-AZ",,,"EUW2-InstanceUsage:db.t3.micro","CreateDBInstance:0014",,,,,,,,"T3","0.5",,"eu-west-2","Amazon Relational Database Service","FALSE",,
"GSPER49HB8KZCR7E","JRTCKXETXF","GSPER49HB8KZCR7E.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.133 per GB-month of provisioned GP3 storage running PostgreSQL","2026-09-01","0","Inf","GB-Mo","0.1330000000","USD",,,,,"Database Storage","AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,"SSD","General Purpose-GP3","5 GB","16 TB","14","PostgreSQL",,,"Single-AZ",,,"EUW2-RDS:GP3-Storage","CreateDBInstance:0014",,,,,,,,,,,"eu-west-2","Amazon Relational Database Service",,,
"32YDU8ZN36UG9TVZ","JRTCKXETXF","32YDU8ZN36UG9TVZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.133 per GB-Month of provisioned Single-AZ GP2 storage","2026-09-01","0","Inf","GB-Mo","0.1330000000","USD",,,,,"Database Storage","AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,,"General Purpose (SSD)",,,"411","Oracle","Standard Two",,"Single-AZ",,,"EUW2-RDS:GP2-Storage","CreateDBInstance:0411",,,"Custom",,,,,,,,"eu-west-2","Amazon Relational Database Service",,"gp2",
"D4CEFSERWHSRA7Q3","JRTCKXETXF","D4CEFSERWHSRA7Q3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.266 per GB-month of provisioned gp2 storage for Multi-AZ (SQL Server Mirror) deployments running SQL Server","2026-09-01","0","Inf","GB-Mo","0.2660000000","USD",,,,,"Database Storage","AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,"SSD","General Purpose","5 GB","16 TB","52","SQL Server","Standard-BYOM","Bring your own media","Multi-AZ (SQL Server Mirror)",,,"EUW2-RDS:Mirror-GP2-Storage","CreateDBInstance:0052",,,,,,,,,,,"eu-west-2","Amazon Relational Database Service",,"gp2",
"CUKEQNSXCFGGTF2D","JRTCKXETXF","CUKEQNSXCFGGTF2D.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.116 per GB-month of provisioned magnetic storage running PostgreSQL","2026-09-01","0","Inf","GB-Mo","0.1160000000","USD",,,,,"Database Storage","AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,"Magnetic","Magnetic","5 GB","3 TB","14","PostgreSQL",,,"Single-AZ",,,"EUW2-RDS:StorageUsage","CreateDBInstance:0014",,,,,,,,,,,"eu-west-2","Amazon Relational Database Service",,,
"9MZR6GBEEDS4BG98","JRTCKXETXF","9MZR6GBEEDS4BG98.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.133 per GB-month of provisioned gp2 storage running MariaDB","2026-09-01","0","Inf","GB-Mo","0.1330000000","USD",,,,,"Database Storage","AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,"SSD","General Purpose","5 GB","16 TB","18","MariaDB",,,"Single-AZ",,,"EUW2-RDS:GP2-Storage","CreateDBInstance:0018",,,,,,,,,,,"eu-west-2","Amazon Relational Database Service",,,
"2PNEC35ZWRX7YM58","JRTCKXETXF","2PNEC35ZWRX7YM58.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.231 per IOPS-Month of provisioned io2 IOPS for Multi-AZ deployments running SQL Server EE","2026-09-01","0","Inf","IOPS-Mo","0.2310000000","USD",,,,,"Provisioned IOPS","AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,,"Provisioned IOPS-IO2",,,"403","SQL Server","Enterprise",,"Multi-AZ","RDS-PIOPS","RDS Provisioned IO2 IOPS","EUW2-RDS:Multi-AZ-IO2-PIOPS","CreateDBInstance:0403",,,"Custom",,,,,,,,"eu-west-2","Amazon Relational Database Service",,"io2",
"2BUCNNQ6V66WNTJS","JRTCKXETXF","2BUCNNQ6V66WNTJS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.017 per hour per vCPU of the RDS MySQL instances associated with an RDS Proxy","2026-09-01","0","Inf","Hrs","0.0170000000","USD",,,,,"RDSProxy","AmazonRDS","EU (London)","AWS Region",,,,"1",,,,,,,,,,,"2","MySQL",,,,,,"EUW2-RDS:ProxyUsage","CreateDBProxy:0002",,,,,,,,,,,"eu-west-2","Amazon Relational Database Service",,,
"2QM42WFRXVCN3BGU","JRTCKXETXF","2QM42WFRXVCN3BGU.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.118 per hour per vCPU running RDS Extended Support for PostgreSQL 12 in Year 1, Year 2","2026-09-01","0","Inf","vCPU-hour","0.1180000000","USD",,,,,,"AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,,,,,"14","PostgreSQL",,,,,,"EUW2-ExtendedSupport:Yr1-Yr2:PostgreSQL12","CreateDBInstance:0014",,,,"12",,,"Year 1, Year 2",,,,"eu-west-2","Amazon Relational Database Service",,,
"2VZB4YUK97YMVMF8","JRTCKXETXF","2VZB4YUK97YMVMF8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.014 per million change records hour (Aurora)","2026-09-01","0","Inf","CR-Hr","0.0000000140","USD",,,,,"System Operation","AmazonRDS","EU (London)","AWS Region",,,,,,,,,,,,,,,"16","Aurora MySQL",,,,"Aurora Backtrack","Aurora Backtrack Change Records","EUW2-Aurora:BacktrackUsage","CreateDBInstance:0016",,,,,,,,,,,"eu-west-2","Amazon Relational Database Service",,,
